date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,vapor_pressure_deficit_max,wind_speed_10m_max,wind_direction_10m_dominant,soil_temperature_0_to_7cm_mean,soil_moisture_0_to_7cm_mean
1980-02-03 17:00:00+00:00,25.605583,29.516,21.266,1.4000001,1.4000001,4.1302195,20.38,1.5675952,9.885262,274.76352,26.345171,0.46533337
1980-02-04 17:00:00+00:00,25.04725,29.116,22.316,2.5000002,2.5000002,3.6205065,17.89,1.4499302,13.237039,252.28181,26.138918,0.46658328
1980-02-05 17:00:00+00:00,24.0535,27.216,21.366,17.0,17.0,2.5513422,13.05,0.81557584,11.212135,281.52368,25.359749,0.47937497
1980-02-06 17:00:00+00:00,25.316,30.016,21.516,6.4,6.4,4.2848988,21.12,1.5840659,10.44,279.63748,26.295166,0.48020828
1980-02-07 17:00:00+00:00,24.838919,28.966,21.166,3.9,3.9,3.9403496,20.12,1.1600451,9.726664,270.36032,26.111834,0.4850417
1980-02-08 17:00:00+00:00,23.62433,26.816,21.916,26.900002,26.900002,2.545703,13.08,0.7738538,10.315115,303.6333,25.205584,0.47512498
1980-02-09 17:00:00+00:00,24.332666,27.166,21.666,3.0,3.0,3.5457485,18.11,1.0254157,10.315115,327.06128,25.684753,0.4862083
1980-02-10 17:00:00+00:00,24.747252,28.316,22.316,3.5,3.5,3.7281907,19.38,0.93420815,11.983188,319.51813,26.343084,0.48545828
1980-02-11 17:00:00+00:00,24.56392,27.816,21.916,3.9,3.9,3.5903473,18.68,0.9612999,10.00256,310.52777,26.034752,0.49574998
1980-02-12 17:00:00+00:00,24.540995,28.566,22.016,8.3,8.3,3.6387472,18.96,0.98168397,11.525623,311.06702,26.041,0.474875
1980-02-13 17:00:00+00:00,24.595167,27.916,21.366,5.3,5.3,3.6704547,19.03,0.7746978,8.891344,310.42596,26.122253,0.47050002
1980-02-14 17:00:00+00:00,24.766,28.416,22.666,8.099999,8.099999,3.436367,17.61,0.8856745,8.891344,297.75842,26.20767,0.48399997
1980-02-15 17:00:00+00:00,24.178503,28.166,21.716,15.500001,15.500001,3.1644711,16.23,0.9616635,10.495713,258.64584,25.882668,0.47370836
1980-02-16 17:00:00+00:00,24.930582,29.116,21.466,3.6,3.6,4.0965905,20.8,1.1255422,8.587338,264.30966,26.249334,0.48258337
1980-02-17 17:00:00+00:00,24.576418,29.666,21.466,7.2000003,7.2000003,3.703706,18.73,1.211067,11.246759,250.50519,26.111832,0.482
1980-02-18 17:00:00+00:00,24.661833,28.266,22.566,2.8000004,2.8000004,2.3094666,11.2,0.87413096,7.5685663,269.99997,25.72017,0.492125
1980-02-19 17:00:00+00:00,25.116,29.316,22.116,4.9,4.9,3.9552953,20.2,1.1371472,9.793058,321.24182,26.386835,0.49549997
1980-02-20 17:00:00+00:00,24.532667,27.916,22.666,14.800001,14.800001,2.7615745,13.94,0.81036067,7.628263,267.62506,26.041002,0.4842917
1980-02-21 17:00:00+00:00,24.618086,27.316,22.966,15.099999,15.099999,2.0569475,9.89,0.78844976,5.1919937,271.3803,25.55142,0.4734167
1980-02-22 17:00:00+00:00,24.105583,26.166,22.866,10.200001,10.200001,1.6327137,8.1,0.32616234,9.220499,340.11475,25.241,0.49970832
1980-02-23 17:00:00+00:00,25.118086,28.966,22.616,10.0,10.0,3.6095982,18.09,1.1600451,7.771331,271.259,26.247253,0.48595834
1980-02-24 17:00:00+00:00,24.980585,29.366,22.366,13.799999,13.799999,3.216853,15.62,1.1665659,6.696387,216.54285,26.153503,0.46845838
1980-02-25 17:00:00+00:00,25.472252,30.416,22.366,5.2000003,5.2000003,3.3853688,16.15,1.4644563,7.2359104,219.08371,26.251417,0.45587504
1980-02-26 17:00:00+00:00,25.318085,29.466,22.616,11.1,11.1,3.5881078,17.77,1.1369884,7.5942082,259.73862,26.486837,0.47074997
1980-02-27 17:00:00+00:00,24.763922,27.866,22.716,12.200001,12.200001,3.2347667,16.68,0.7637534,8.12197,33.051437,26.368088,0.47124997
1980-02-28 17:00:00+00:00,25.157667,30.266,22.066,9.700001,9.700001,3.739386,18.44,1.1374357,6.4799995,167.66093,26.530586,0.4678333
1980-02-29 17:00:00+00:00,25.499334,30.216,22.516,6.2,6.2,3.9415271,19.52,1.28214,7.729527,119.744835,26.757668,0.46279156
1980-03-01 17:00:00+00:00,25.755585,29.816,23.516,8.1,8.1,3.4602778,17.26,1.1300855,9.3876505,43.96783,26.665998,0.47966662
1980-03-02 17:00:00+00:00,25.455584,30.016,22.816,13.099999,13.099999,3.7702367,18.88,1.1043801,8.64,138.50352,26.861837,0.4675417
1980-03-03 17:00:00+00:00,24.907667,29.466,22.166,34.2,34.2,3.7355137,18.96,1.0738382,8.647496,238.09193,26.899332,0.4625
1980-03-04 17:00:00+00:00,25.651419,30.666,22.116,6.7,6.7,4.3192754,21.15,1.4744396,5.1165614,170.13428,27.178503,0.4625833
1980-03-05 17:00:00+00:00,25.122252,28.366,22.716,7.0,7.0,3.5429437,18.06,0.86325383,10.137692,68.51789,26.728506,0.4884999
1980-03-06 17:00:00+00:00,24.909752,30.016,22.016,10.8,10.8,3.792511,18.95,1.3398952,8.28,197.85036,26.68892,0.4713333
1980-03-07 17:00:00+00:00,24.58267,28.716,22.316,15.000001,15.000001,3.391452,16.97,0.95361924,8.699793,235.18306,26.32017,0.4630833
1980-03-08 17:00:00+00:00,25.899332,30.766,22.716,2.2,2.2,4.584719,22.53,1.4283321,8.557102,215.50244,26.951422,0.47120824
1980-03-09 17:00:00+00:00,25.361834,29.016,22.966,6.0,6.0,3.6272492,18.37,0.8966067,11.631956,234.29967,26.616003,0.47974995
1980-03-10 17:00:00+00:00,24.920166,27.666,22.716,4.6000004,4.6000004,3.2876933,16.65,0.8391037,13.217443,236.85106,26.230583,0.4855834
1980-03-11 17:00:00+00:00,25.222254,28.916,22.116,2.8,2.8,3.9289033,19.92,0.9604342,10.853866,248.33397,26.447252,0.48083332
1980-03-12 17:00:00+00:00,25.16392,29.416,22.366,3.4,3.4,3.9737637,20.28,0.9416208,11.928989,245.93204,26.643084,0.47754166
1980-03-13 17:00:00+00:00,25.06183,29.366,21.866,3.8,3.8,3.5776808,17.83,1.2102759,7.5942082,238.83606,26.307669,0.4779167
1980-03-14 17:00:00+00:00,25.626417,30.716,21.366,5.2,5.2,4.495851,22.11,1.5395544,5.5887027,215.4957,26.855583,0.4753333
1980-03-15 17:00:00+00:00,25.057665,30.366,21.716,14.4,14.4,4.4158406,21.99,1.3461716,6.162207,181.10167,27.053503,0.4760417
1980-03-16 17:00:00+00:00,24.684748,29.116,22.166,20.900002,20.900002,3.8890567,19.35,1.4813387,7.289445,230.80162,26.722254,0.47795832
1980-03-17 17:00:00+00:00,24.143084,28.416,22.366,12.700001,12.700001,2.9247766,14.91,1.152493,9.360001,229.05682,25.91392,0.47916663
1980-03-18 17:00:00+00:00,23.718084,27.366,21.566,9.799999,9.799999,2.4295046,12.14,0.6826136,6.0347,212.28464,25.201418,0.47925004
1980-03-19 17:00:00+00:00,24.628496,29.066,20.816,0.3,0.3,4.5272803,22.5,1.5920358,7.771331,210.06848,25.98892,0.45654166
1980-03-20 17:00:00+00:00,24.257668,30.516,18.616,0.0,0.0,5.172933,25.6,1.9784877,8.12197,220.18762,25.749336,0.44291663
1980-03-21 17:00:00+00:00,25.182665,30.266,21.016,0.0,0.0,4.677437,23.11,1.7017777,10.446206,238.79955,26.40558,0.42641664
1980-03-22 17:00:00+00:00,25.413918,29.666,21.266,0.0,0.0,4.5399733,22.54,1.4671674,12.964998,247.92346,26.53892,0.41362497
1980-03-23 17:00:00+00:00,25.513916,30.066,21.566,2.8999999,2.8999999,4.2679453,21.44,1.3452258,10.296251,261.14667,26.603498,0.4137083
1980-03-24 17:00:00+00:00,25.490997,29.616,22.016,8.0,8.0,3.877703,19.37,1.1367383,7.754637,277.95743,26.718086,0.44362494
1980-03-25 17:00:00+00:00,25.257666,29.816,21.666,10.400001,10.400001,3.912202,19.34,1.205529,6.12,255.06854,26.836838,0.47066665
1980-03-26 17:00:00+00:00,25.480583,30.466,22.666,9.4,9.4,3.9014392,19.27,1.2152228,6.489992,178.18176,27.007668,0.46950004
1980-03-27 17:00:00+00:00,25.184752,29.016,22.516,6.9,6.9,3.6819923,18.85,1.0084405,8.4042845,57.994675,26.949327,0.46941665
1980-03-28 17:00:00+00:00,24.813921,28.566,22.266,10.499999,10.499999,3.4304788,17.4,0.8834796,7.24486,102.994675,26.711836,0.4871666
1980-03-29 17:00:00+00:00,25.253502,29.416,22.666,7.6,7.6,3.4359097,17.15,1.0161848,8.089993,80.53774,26.680586,0.49004164
1980-03-30 17:00:00+00:00,25.059753,29.616,22.066,8.6,8.6,4.0285707,20.3,1.0172756,7.5170207,92.66296,26.930588,0.48258337
1980-03-31 17:00:00+00:00,26.15142,30.216,22.316,0.3,0.3,4.674524,22.98,1.616977,6.8777895,88.540596,27.47017,0.43875
1980-04-01 17:00:00+00:00,26.50767,30.116,23.266,0.3,0.3,4.6277847,22.82,1.592437,10.464797,67.897194,27.46392,0.43691668
1980-04-02 17:00:00+00:00,26.486837,30.816,21.566,0.1,0.1,5.217753,25.64,1.9562941,9.387651,80.12223,27.4785,0.42720833
1980-04-03 17:00:00+00:00,25.734749,30.066,22.116,4.2000003,4.2000003,4.164832,20.53,1.47473,8.225035,105.79248,27.293083,0.43291673
1980-04-04 17:00:00+00:00,26.005583,29.766,22.666,3.1000001,3.1000001,4.195826,20.9,1.314213,7.42159,53.637054,27.461836,0.48562503
1980-04-05 17:00:00+00:00,25.791,30.366,22.516,6.1,6.1,3.8657107,18.95,1.4779997,5.1544156,159.90462,27.265999,0.47891662
1980-04-06 17:00:00+00:00,25.678503,30.466,22.816,15.400001,15.400001,4.1343493,20.79,1.1775508,7.729527,105.461235,27.53475,0.49508333
1980-04-07 17:00:00+00:00,25.593084,29.816,23.016,12.4,12.4,3.7563407,18.74,1.2086136,8.942214,83.29023,27.357668,0.48154166
1980-04-08 17:00:00+00:00,24.855585,27.566,23.466,10.699999,10.699999,1.8784486,8.94,0.6806996,4.3349743,229.9698,26.191,0.48095825
1980-04-09 17:00:00+00:00,24.70975,29.266,22.116,10.7,10.7,2.7945995,13.74,1.0808823,5.634891,112.83358,26.226418,0.47804165
1980-04-10 17:00:00+00:00,24.538918,27.916,22.416,29.300001,29.300001,2.3987596,11.84,0.7295904,5.495161,200.02615,25.876417,0.47120833
1980-04-11 17:00:00+00:00,25.438917,29.966,22.916,8.3,8.3,3.1701064,15.61,1.1755576,7.8625183,150.55463,26.493086,0.47537503
1980-04-12 17:00:00+00:00,25.17225,29.516,22.666,6.4,6.4,2.9768023,14.61,1.076585,6.297428,109.212746,26.463915,0.47608337
1980-04-13 17:00:00+00:00,25.03475,29.216,22.566,6.5,6.5,2.9880404,14.91,1.0058515,7.9526596,237.99512,26.484749,0.4768333
1980-04-14 17:00:00+00:00,24.770166,29.316,22.866,31.4,31.4,2.9306905,14.71,0.9926071,7.928178,253.87234,26.388924,0.48416665
1980-04-15 17:00:00+00:00,24.69517,26.766,22.866,15.1,15.1,1.3144281,5.99,0.53885245,5.6920996,230.19446,25.436836,0.4925834
1980-04-16 17:00:00+00:00,25.949335,30.366,22.666,0.5,0.5,4.106607,20.13,1.3888521,9.028754,236.68396,26.71392,0.47679165
