temperature_2m_mean,soil_moisture_0_to_7cm_mean,temp_anomaly,aridity_index,month_sin,month_cos,precip_30d_sum,et0_30d_sum,temp_30d_mean,soil_moist_30d_mean,precip_90d_sum,et0_90d_sum,precip_180d_sum,et0_180d_sum,spei_90d,spei_180d,soil_water_deficit,water_balance_lag_1,water_balance_lag_7,water_balance_lag_30
25.305586,0.459125,0.052501832222223044,0.26141316821780525,1.2246467991473532e-16,-1.0,112.79999634000002,106.8282856,25.631695200000003,0.4501235813333333,535.69999669,318.45769909999996,1296.00000309,621.1121285,-0.7550723053783875,-1.4940518892372683,2.5428258,-2.59009996,-3.8212702,-1.1956678000000003
25.674334,0.45129168,0.4212498322222231,0.13368802370277966,1.2246467991473532e-16,-1.0,113.09999634000002,106.6616279,25.62613956666667,0.45019996966666664,527.59999669,318.1691792,1288.50000359,621.6834001999999,-0.8088639004146969,-1.52925630198829,3.2400508,-2.5428258,-3.4223898,-3.7067085
25.724335,0.43537495,0.4712508322222213,0.10012546471669989,1.2246467991473532e-16,-1.0,108.89999634000002,107.0512789,25.623570200000003,0.4494944156666667,527.69999669,317.48964290000004,1277.7000015899998,623.5166099,-0.8034958395057658,-1.5843585018818886,3.5949877,-3.2400508,-4.1333604,0.9946632999999996
26.122252,0.4202083,0.8691678322222209,0.0,1.2246467991473532e-16,-1.0,103.99999634000001,107.1612602,25.646903599999998,0.4480777503333334,527.3999966900001,316.6459873,1264.60000159,624.6608827,-0.799752105731878,-1.646487656827067,3.7841291,-3.5949877,-3.3853574,1.2258522000000003
25.951418,0.416875,0.7746845279569889,0.33814662511070076,-0.4999999999999997,-0.8660254037844388,98.69999684000001,107.62808,25.681000766666667,0.44664997366666664,528.49999669,314.9769907,1253.30000259,624.8372351,0.5000047811287216,-0.6486728609458329,2.3487564,-3.7841291,-1.0853174,3.4180629000000002
25.624334,0.419,0.4476005279569897,0.26572985907840685,-0.4999999999999997,-0.8660254037844388,98.89999684000001,107.4480583,25.67336196666667,0.4448221963333333,525.2999963899999,314.575379,1245.00000359,625.3875846000001,0.4814860393272342,-0.6860113302636343,2.7632203,-2.3487564,5.335599800000001,-3.143242
25.949331,0.42762497,0.7725975279569894,0.6851135104675358,-0.4999999999999997,-0.8660254037844388,101.29999674000001,106.6094043,25.656973133333334,0.44402080800000004,524.59999619,313.882622,1243.3000034899999,625.5424036000001,0.4814381064023302,-0.693836570823983,1.1030691,-2.7632203,-2.59009996,-4.341723
25.58475,0.42691663,0.4080165279569883,0.20623579863973346,-0.4999999999999997,-0.8660254037844388,100.19999664000001,106.3731527,25.648917400000002,0.44351386466666665,519.19999619,313.4110844,1235.70000349,627.0623482,0.4488232927685345,-0.7323124310262281,2.6941731000000004,-1.1030691,-2.5428258,-1.8304245999999997
25.336836,0.4297084,0.16010252795699031,0.5995859139760898,-0.4999999999999997,-0.8660254037844388,100.79999664000002,106.4652209,25.63815353333333,0.44293608933333334,505.79999519,312.6123705,1225.40000349,627.9849484,0.3654324505633765,-0.7796591217507403,1.3356354000000001,-2.6941731000000004,-3.2400508,-1.8435672000000003
25.076416,0.44995832,-0.10031747204301311,1.8526028906135372,-0.4999999999999997,-0.8660254037844388,105.79999604000001,106.032675,25.6161395,0.4433263673333333,499.49999459000003,312.1486941,1225.10000329,627.3084837,0.32680972999855873,-0.7780708669851238,0.0,-1.3356354000000001,-3.5949877,-2.6252101999999997
